index,struct_name,left_exposure,right_exposure
1,THALAMUS_1,74.542818114619,72.261413095324
2,AV_2,98.71410529503,95.812228700272
4,VA_4,289.78676059554,292.644912369932
5,VLa_5,402.53828529023997,398.322175716129
6,VLP_6,193.532365722567,182.77945970548
7,VPL_7,165.80977164996,149.085936432581
8,Pul_8,72.602702867836,73.082478120813
9,LGN_9,352.12445517676804,329.899687835373
10,MGN_10,339.09048588638706,329.341520155032
11,CM_11,258.135893321406,258.60573663876
12,MD_Pf_12,182.556137630841,179.717401658288
13,Hb_13,323.70300211587,325.476827474968
14,MTT_14,519.892623511514,554.108065219963
26,Acc_26,1094.75567009416,1077.4962098267401
27,Cau_27,114.91084041193601,109.598830318715
28,Cla_28,930.624254776935,933.217194821384
29,GPe_29,569.493903393145,573.3309346422631
30,GPi_30,610.7510023144021,602.538817123845
31,Put_31,545.6228584615019,546.3627227157599
32,RN_32,690.918284179266,696.2453947716369
33,GP_33,566.766479106048,568.117787564792
34,Amy_34,1777.869356410371,1804.6195130095798
4567,VL_4567,150.785646138723,140.299296645808
